1506	4	377
2728	34	2838
373	44	1507
693	14	1551
2648	12	2606
1661	37	1589
2496	5	2380
361	17	2113
1805	37	1184
2364	34	1375
1778	28	772
2475	40	2889
1185	35	632
2314	46	2207
2968	16	404
268	26	386
381	28	432
1697	19	1092
35	33	437
2569	39	2779
2281	42	348
167	28	22
547	33	2580
982	4	55
1388	4	663
2678	40	1450
940	8	130
2404	19	1271
196	6	2432
2837	33	1131
2560	31	1243
756	10	230
1656	34	1637
991	19	2404
1141	13	2214
2548	13	1158
299	2	121
1683	37	2252
798	35	223
2530	2	2369
140	19	1322
436	8	218
223	5	513
1439	15	1643
907	33	341
2770	8	2433
1924	7	2511
2246	30	1159
1526	47	1636
1641	9	765
963	27	1980
2830	47	719
2748	49	720
1472	37	1327
580	49	400
1572	32	472
872	19	331
1549	40	2078
1909	20	2621
2404	30	493
2226	5	681
2024	24	1558
1817	44	186
2802	33	2283
1873	3	2160
21	24	1534
283	47	1215
2492	50	685
773	47	1412
2382	17	2029
103	43	1122
915	18	369
2764	37	943
600	4	1597
2689	18	2337
1338	7	2683
2610	6	2544
1205	31	867
1401	15	848
2830	2	25
630	33	1707
1291	40	733
2510	24	660
1238	48	1767
449	28	2457
2675	41	158
442	47	72
1581	28	1957
1650	10	1472
2373	40	1342
1574	47	711
239	8	285
1519	43	1309
2130	47	694
2231	34	2123
1216	19	417
1990	25	440
2602	29	795
2672	43	2669
1764	12	1373
229	8	1465
2543	50	824
2665	12	1125
1714	40	2529
2773	7	1353
2057	30	857
2952	22	92
666	42	786
1773	37	1858
1420	9	2861
1846	49	1743
1842	21	1841
1469	5	2331
1464	22	925
396	27	893
123	4	1045
2297	50	1542
1168	36	1659
46	24	1476
2641	17	2381
2144	27	1892
1229	37	1564
1640	1	729
2875	2	2224
2230	30	2476
948	1	1977
520	48	366
2104	10	1097
1422	41	2286
421	1	1778
1572	26	2248
1707	36	525
1563	39	726
933	12	949
2125	37	17
385	24	944
687	13	2862
2839	35	2902
1411	19	1746
1025	32	1559
148	30	2523
1431	35	1176
1786	2	260
2435	11	2911
1635	37	1901
648	27	1595
2500	39	216
2148	39	1270
939	33	2889
558	29	1846
2920	12	1533
2568	1	297
2668	28	713
1566	26	1927
507	10	2818
2850	32	1182
940	32	2037
2949	24	2257
485	28	964
361	25	2002
1241	29	282
2463	10	1101
1479	25	2585
2147	35	279
2639	36	2571
233	17	660
595	1	1317
1943	50	2694
2611	1	399
2809	34	2357
931	44	1924
2493	25	443
456	17	2243
2469	38	2746
1294	15	1200
249	38	2290
609	47	1729
2626	43	1720
1863	9	1285
2457	38	533
1992	15	2800
2134	23	2143
2368	6	1362
2739	24	2544
2654	43	1133
2432	11	335
2503	30	242
178	34	2166
507	7	545
358	39	1252
1006	28	1468
907	31	1261
2103	11	2860
1079	28	2635
1281	48	359
243	49	1368
1129	47	1306
2643	14	1550
339	45	281
660	29	540
