<<<<<<< HEAD
1526	9	3490
5535	35	5630
1048	48	2273
6841	27	1815
5910	36	1687
7385	23	1836
212	31	2337
2442	2	2433
1619	3	6963
4414	6	3114
2016	27	2555
3450	17	3943
3251	18	5839
2708	20	6999
3799	12	6398
4552	35	6057
6855	26	6637
6137	47	529
3929	44	5573
7463	36	2165
1523	20	1688
3105	16	2162
1071	22	1273
238	43	5568
3094	44	59
626	9	36
2341	26	98
1195	24	6737
990	14	4907
1547	43	1432
6291	20	6614
748	8	6924
5318	5	795
756	36	2606
820	29	3186
6070	25	4630
4002	22	1149
473	19	1071
6437	10	1583
6519	17	95
1643	6	4776
830	22	7454
2477	1	2052
1104	11	4922
1204	22	978
5298	18	3476
1051	15	537
5110	19	5485
3876	41	5511
1547	18	6818
5014	48	535
5381	17	6965
2337	29	3587
3445	50	6149
2569	20	2769
2434	2	4088
521	4	4163
3902	3	6613
7134	41	6312
3567	1	4590
288	1	275
5509	8	2617
4624	8	1746
2809	10	2372
7225	29	990
4041	20	2170
5442	23	6172
1050	37	5498
4896	43	4395
7212	7	7268
2447	26	6608
4189	42	3751
5475	42	575
3660	8	6286
5927	19	7232
5401	20	630
1004	28	2668
4030	11	4470
2487	36	3977
2564	26	4340
4812	50	1193
2781	44	1184
3781	25	7367
6412	20	851
4297	10	5102
3569	39	1684
469	13	4166
918	38	2978
3105	24	6265
575	33	3952
4235	24	2380
4052	4	5407
6201	25	3341
6152	21	4987
809	1	552
5669	19	5975
1695	33	6118
3031	8	5003
3879	28	6863
618	24	3760
2380	3	7082
122	31	206
4830	25	4249
3895	43	332
3505	5	399
800	48	3395
1917	14	2055
2966	23	1622
1900	23	1505
2315	11	6894
4803	13	5331
6276	14	5333
1994	15	1057
2836	1	4026
4678	32	431
2308	31	4100
347	8	2954
5124	5	7302
6418	13	7034
3320	50	6644
7198	5	1347
2247	7	1142
5601	31	2111
5531	24	3759
750	38	3222
7400	38	5331
217	24	1068
687	22	2609
1444	39	3612
2772	50	7384
6599	16	587
6673	18	5897
1590	45	5029
4443	37	5571
7259	11	3314
1377	5	4221
2779	28	5937
322	42	2100
1504	8	2944
5443	34	7022
648	7	5659
6552	36	5448
5082	6	2594
5406	21	774
7183	13	4558
1042	44	541
1693	37	5484
735	10	4663
4243	9	366
7209	12	1380
1648	48	6526
6526	24	7483
6079	2	4508
425	26	1263
1654	18	4009
375	2	2164
963	8	1072
1165	10	4920
3072	9	445
2860	11	6211
5043	30	5754
453	4	1194
5304	29	6831
6217	4	1064
437	38	3328
4208	38	1035
6561	46	6995
2976	16	6364
5310	1	699
1634	11	4083
7247	33	7449
5655	24	2202
5352	33	968
4435	17	6011
7492	34	1540
2483	5	2922
6567	39	4040
2712	21	3488
2015	14	1014
7142	35	7095
820	2	7066
1290	1	3117
548	32	2801
1060	50	7220
4958	48	1237
4025	24	6566
7092	7	738
2398	33	2777
483	4	3749
920	33	6743
523	29	2809
2247	47	5667
6029	10	7450
3170	8	5877
972	41	2548
1810	34	7252
4611	39	6075
2239	10	3487
1916	50	5724
3132	34	6228
1734	1	6884
2624	45	5824
2942	41	3348
5642	14	1370
1892	16	3075
5215	33	3144
1589	35	5447
367	32	597
5762	34	2504
1726	41	4264
7103	43	4669
2628	2	1398
7156	41	3750
6282	11	7358
2089	23	4601
5011	5	3065
3201	44	3836
1067	25	3832
2043	2	7158
3828	33	7394
5464	40	2113
623	12	503
3033	8	3898
1473	29	6695
5135	28	3992
5428	11	6476
5010	24	1083
6389	3	3435
3914	49	6103
4349	2	3495
7089	16	4048
1348	3	4305
5686	36	473
16	24	4940
3353	12	7314
6394	14	1410
4459	23	557
595	23	6158
1782	13	1712
2249	33	6143
5347	39	4497
2677	45	6828
4385	46	1024
806	13	7211
7477	14	119
7392	8	394
2863	16	6744
2066	36	6291
2641	23	3304
2516	32	708
1173	23	7020
2182	2	5219
5368	15	2991
3563	19	2086
1722	36	2497
4297	39	5765
1983	34	2487
6101	9	600
6134	32	473
678	2	4920
5391	40	4711
410	30	6378
4266	27	1256
229	4	2111
4428	50	868
3210	7	4111
5285	32	983
5880	33	3578
3058	1	4297
1877	14	814
5098	4	3275
1385	45	160
6760	13	5491
1491	32	5205
5561	38	6317
3171	5	778
5216	36	2109
3890	36	1038
2618	32	1559
3478	23	1159
2038	18	7182
1206	27	2407
5120	4	1542
6156	47	4828
204	26	5519
2981	32	1857
7027	21	434
1776	18	375
625	25	967
6474	6	1992
3493	21	1225
6580	29	6923
202	43	239
3015	16	1405
5222	41	3252
2710	38	6918
7414	44	7327
1514	31	3580
3741	44	2383
1023	20	4038
5737	13	879
2812	7	4587
4221	6	852
7169	38	4540
7203	11	543
78	46	6787
2764	18	4514
7037	37	6555
5688	28	7158
5531	17	1782
5419	49	4954
3867	19	5720
3775	9	3672
2650	22	6972
4059	32	3866
2857	7	4974
4096	3	4265
1443	10	6902
5307	15	5349
5834	19	4043
2847	34	7316
2740	3	1425
774	8	1930
4680	35	2336
2282	44	4228
6850	31	4023
4346	7	1216
1792	25	4522
1297	27	1726
840	48	1960
230	30	2005
5457	9	6898
1088	6	356
6480	37	3902
884	7	1239
6018	41	1931
4737	39	96
3912	41	1529
5702	34	5708
2328	50	5602
4219	20	1444
5327	18	1565
3486	4	5881
2916	15	6281
470	41	5825
3696	18	6084
6099	1	6297
2449	29	4047
640	10	3070
4507	7	753
5006	24	2657
5422	22	4083
1823	4	6503
5730	43	5806
2634	13	2483
5313	39	6191
